Component,Description,References,Value,Footprint,Quantity Per PCB,Datasheet,MPN
1,0.1µF ±10% 100V Ceramic Capacitor X7R 0805 (2012 Metric) ,C2 C4 C6,0.1uf,C_0805,3,https://psearch.en.murata.com/capacitor/product/GCM21BR72A104KA37%23.pdf,GCM21BR72A104KA37K
2,10µF ±10% 25V Ceramic Capacitor X5R 0805 (2012 Metric) ,C1 C3 C5,10uf,C_0805,3,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR61E106KA73-01.pdf,GRM21BR61E106KA73L
3,Green 569nm LED Indication - Discrete 2.1V 0805 (2012 Metric) ,D1,ACT,LED_0805,1,https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C171GKT.pdf,LTST-C171GKT
4,Green 569nm LED Indication - Discrete 2.1V 0805 (2012 Metric) ,D2,PORT1,LED_0805,1,https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C171GKT.pdf,LTST-C171GKT
5,Green 569nm LED Indication - Discrete 2.1V 0805 (2012 Metric) ,D4,PORT2,LED_0805,1,https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C171GKT.pdf,LTST-C171GKT
6,Green 569nm LED Indication - Discrete 2.1V 0805 (2012 Metric) ,D3,PORT3,LED_0805,1,https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C171GKT.pdf,LTST-C171GKT
7,Green 569nm LED Indication - Discrete 2.1V 0805 (2012 Metric) ,D5,PORT4,LED_0805,1,https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C171GKT.pdf,LTST-C171GKT
8,USB 2.0 HIGH SPEED 4-PORT HUB CONTROLLER,IC1,FE1.1S,SOP64P600X175-28N,1,https://cdn-shop.adafruit.com/product-files/2991/FE1.1s Data Sheet (Rev. 1.0).pdf,FE1.1S
9,"USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole",J7,105017-0001,105017-0001,1,https://www.molex.com/pdm_docs/sd/1050170001_sd.pdf,105017-0001
10,"Power Barrel Connector Jack 2.10mm ID (0.083""), 5.50mm OD (0.217"") Through Hole, Right Angle",J5,Barrel_Jack,BARREL_JACK,1,https://www.cui.com/product/resource/pj-002a.pdf,PJ-002A
11,"2 Positions Header, Breakaway Connector Through Hole Tin ",J9,GND,Pin_Header_Straight_1x02_Pitch2.54mm,1,www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=103328&DocType=Customer+Drawing&DocLang=English,4-103328-1
12,"2 Positions Header, Breakaway Connector Through Hole Tin ",J8,PWR,Pin_Header_Straight_1x02_Pitch2.54mm,1,www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=103328&DocType=Customer+Drawing&DocLang=English,4-103328-1
13,"USB - A USB 2.0 Receptacle Connector 4 Position Through Hole, Right Angle",J1 J2 J3 J4,UE27AC54100,USB_A,4,https://www.amphenolcanada.com/ProductSearch/drawings/AC/UE27ACX4X0X.pdf,UE27AC54100
14,"4 Positions Header, Breakaway Connector 0.100"" (2.54mm) Through Hole Tin ",J6,USB_OTG_AUX,Pin_Header_Straight_1x04_Pitch2.54mm,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=146274&DocType=Customer+Drawing&DocLang=English,5-146274-4
15,"100 kOhms ±5% 0.4W, 2/5W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film",R2,100k,R_0805,1,https://www.rohm.com/datasheet/ESR01MZPF/esr-e,ESR10EZPJ104
16,"2.7 Ohms ±5% 0.4W, 2/5W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film ",R1,2.7K,R_0805,1,https://www.rohm.com/datasheet/ESR01MZPF/esr-e,ESR10EZPJ2R7
17,"330 Ohms ±5% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film ",R3 R4 R6,330R,R_0805,3,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RMCF0805JT330R
18,"47 kOhms ±5% 0.4W, 2/5W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film ",R5,47K,R_0805,1,https://www.rohm.com/datasheet/ESR01MZPF/esr-e,ESR10EZPJ473
19,12MHz ±30ppm Crystal 18pF 40 Ohms HC-49S ,Y1,HC-495 12Mhz,Crystal_SMD_HC49-SD,1,http://www.txccorp.com/download/products/quartz_crystals/2015TXC_9C_32.pdf,9C-12.000MBBK-T
